AvyYear,YYYY,MM,DD,Location,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2024,2024,5,10,"Donaldson Peak, Lost River Range",BC,ID,44.064,-113.700,Backcountry Tourer,Foot,1,"1 backcountry skier caught, fully buried, and killed",5/10/2024
2024,2024,5,9,"Big Willow Aprons, northeast of Lone Peak",BC,UT,40.532,-111.761,Backcountry Tourer,Foot,2,"3 backcountry skiers caught, 1 partially buried and injured, 2 buried and killed",5/9/2024
2024,2024,3,29,Mount Saint Helens,BC,WA,46.191,-122.195,Backcountry Tourer,Foot,1,1 backcountry snowboarder caught and killed,3/29/2024
2024,2024,3,12,"West Fork Camp Creek near Lost Trail Pass, Bitterroot Mountains",BC,MT,45.704,-113.978,Backcountry Tourer,Ski,1,1 backcountry skier caught and killed,3/12/2024
2024,2024,3,6,"Gunsight Peak, Elkhorn Mountains",BC,OR,44.961,-118.245,Backcountry Tourer,Ski,1,1 backcountry skier caught and killed,3/6/2024
2024,2024,3,1,"Darland Mountain, Ahtanum Meadows",BC,WA,46.521,-121.201,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/1/2024
2024,2024,3,1,"Gunsight Peak, McCormick Creek, Selkirk Mountains",BC,ID,48.665,-116.633,Snowmobiler,Snowmobile,1,"1 snowmobilers caught, buried, and killed",3/1/2024
2024,2024,2,13,"John Mountain, Kenai Mountains",BC,AK,60.574,-149.538,Backcountry Tourer,Ski,1,"3 backcountry skiers caught, 2 injured, 1 killed",2/13/2024
2024,2024,2,11,"Anthracite Range, east of Ohio Peak",BC,CO,38.824,-107.103,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried, and killed",2/11/2024
2024,2024,2,9,"West Fork of Haskins Creek, west of Battle Pass",BC,WY,41.172,-107.060,Snowmobiler,Snowmobile,1,"2 snowmobilers caught, 1 partially buried-critical and killed",2/9/2024
2024,2024,2,2,"Lake George, Chugach Mountains",BC,AK,61.170,-148.638,Mechanised Guide,Ski,1,1 heliskier caught and killed,2/2/2024
2024,2024,1,22,"Waterfall Canyon, south of Ophir",BC,CO,37.844,-107.823,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder caught, partially buried, and killed",1/22/2024
2024,2024,1,14,"Little Poudre Mountain, Prater Canyon",BC,WY,42.994,-110.930,Backcountry Tourer,Ski,1,"1 backcountry skier caught, buried and killed",1/14/2024
2024,2024,1,11,"Stevens Peak, Lone Lake Drainage, Bitterroot Mountains",BC,ID,47.431,-115.779,Backcountry Tourer,Ski,1,"2 backcountry skiers caught, 1 injured, 1 partially buried-critical and killed",1/11/2024
2024,2024,1,10,"KT-22, Sierra Nevada",SA,CA,39.183,-120.242,Inbounds Rider,Ski,1,"1 rider injured, 1 killed",1/10/2024
2023,2023,7,2,"Split Mountain, southwest of Big Pine",BC,CA,37.021,-118.422,Hiker,Foot,1,"3 hikers caught, 2 injured, 1 killed",7/2/2023
2023,2023,6,14,"Hurd Peak, southwest of Bishop",BC,CA,37.143,-118.566,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 killed",6/14/2023
2023,2023,5,5,West Ridge of the Moose's Tooth,BC,AK,62.969,-150.613,Climber,Foot,2,"2 climbers caught, killed",5/5/2023
2023,2023,5,4,"Denali National Park, near Jenny Creek",BC,AK,63.720,-148.984,Backcountry Tourer,Ski,1,1 backcountry skier caught and killed,5/4/2023
2023,2023,4,29,"Bald Mountain, southeast of Breckenridge",BC,CO,39.446,-105.960,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",4/29/2023
2023,2023,4,17,"Big Cottonwood Creek, east of Sandy",TN,UT,40.604,-111.583,Resident,Foot,1,"1 resident caught, partially buried-critical, and killed",4/17/2023
2023,2023,3,27,"Pole Canyon, Oquirrh Moutains",BC,UT,40.369,-112.192,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/27/2023
2023,2023,3,22,"Trinity Lakes, east of Boise",BC,ID,43.624,-115.429,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/22/2023
2023,2023,3,19,"Maroon Bowl, north of Highland Peak",BC,CO,39.135,-106.877,Sidecountry Rider,Ski,1,"1 sidecountry rider caught, partially buried-critical, and killed",3/19/2023
2023,2023,3,17,"Rapid Creek, southwest of Marble",BC,CO,39.048,-107.258,Backcountry Tourer,Ski,1,"3 backcountry tourers caught, 2 injured, 1 buried and killed",3/17/2023
2023,2023,3,16,"Purgatory Creek, north of Durango",TN,CO,37.629,-107.814,Resident,Foot,1,"3 residents caught, buried, and 1 killed",3/16/2023
2023,2023,3,15,"Paulina Peak, south of Bend",BC,OR,43.692,-121.255,Backcountry Tourer,Snowboard,1,1 backcountry snowboarder killed,3/15/2023
2023,2023,3,12,"Red Mountain, northeast of Lowman",BC,ID,44.254,-115.406,Snowmobiler,Snowmobile,1,1 snowmobiler caught and killed,3/12/2023
2023,2023,3,12,"Observation Peak, Stanley Lake Creek Drainage",BC,ID,44.172,-115.106,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/12/2023
2023,2023,3,9,"Upper Weber Canyon, southwest of Windy Ridge",BC,UT,40.838,-111.021,Mechanized Guided Client,Ski,1,"2 skiers caught and fully buried, 1 injured and 1 killed",3/9/2023
2023,2023,3,2,"Black Crater, west of Sisters",BC,OR,44.268,-121.738,Backcountry Tourer,Ski,1,"1 backcountry skier caught, partially buried-critical, and killed",3/2/2023
2023,2023,2,25,South of Vallecito Reservoir,BC,CO,37.369,-107.572,Backcountry Tourer,Ski,2,"2 backcountry skiers caught, buried, and killed",2/25/2023
2023,2023,2,25,"Red Lakes Trailhead, near La Manga Pass",BC,CO,37.078,-106.413,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/25/2023
2023,2023,2,23,"Poker Flats, Salt River Range",BC,WY,42.524,-110.763,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",2/23/2023
2023,2023,2,19,"Colchuck Peak, southwest of Leavenworth",BC,WA,47.479,-120.844,Climber,Foot,3,"4 climbers caught, 3 killed, 1 injured",2/19/2023
2023,2023,1,9,"Mummy Mountain, Spring Mountain National Recreation Area",BC,NV,36.300,-115.648,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder, caught, partially buried-critical, and killed",1/9/2023
2023,2023,1,7,"Pumphouse Lake, southwest of Rollins Pass",BC,CO,39.924,-105.691,Snowmobiler,Snowmobile,2,"2 snowmobilers caught, buried, and killed",1/7/2023
2023,2022,12,31,"Crown Butte, north of Cooke City",BC,MT,45.051,-109.962,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",12/31/2022
2023,2022,12,31,"Number 5, Carter Gulch southwest of Breckenridge",BC,CO,39.452,-106.076,Sidecountry Rider,Ski,1,"2 sidecountry riders caught, 1 partially buried-critical, 1 buried and killed",12/31/2022
2023,2022,12,26,"Nitro Chute, north of Berthoud Pass",BC,CO,39.802,-105.781,Backcountry Tourer,Ski,1,"4 backcountry tourers caught, 2 fully buried, and 1 killed",12/26/2022
2022,2022,5,29,"Mount Meeker, Rocky Mountain National Park",BC,CO,40.253,-105.601,Climber,Foot,1,"3 climbers caught, 1 partially buried, 1 injured, 1 buried and killed",5/29/2022
2022,2022,4,25,"Ice Face, southeast of Thompson Pass, Chugach Mountains",BC,AK,61.126,-145.727,Mechanised Guide,Ski,1,"1 skier caught, carried over cliff, and killed",4/25/2022
2022,2022,3,19,"North Fork of Fish Creek, near Steamboat Springs",BC,CO,40.506,-106.720,Backcountry Tourer,Ski,1,"1 backcountry skier caught, partially buried-critical, and killed",3/19/2022
2022,2022,3,17,"Game Creek Drainage, east of Victor Idaho",BC,WY,43.595,-111.011,Backcountry Tourer,Ski,1,"2 skiers caught, 2 fully buried, 1 injured, and 1 killed",3/17/2022
2022,2022,3,17,"Pilot Knob, east of Lizard Head Pass",BC,CO,37.811,-107.838,Backcountry Tourer,Snowboard,1,"1 backcountry snowboarder caught, buried, and killed",3/17/2022
2022,2022,3,12,"South Fork Miner Creek, Sierra Madre Mountains",BC,WY,41.083,-106.889,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/12/2022
2022,2022,2,25,Yule Creek,BC,CO,39.063,-107.176,Resident,Snowshoe,1,"3 snowshoers caught, 2 partially buried, 1 buried and killed. 2 dogs killed",2/25/2022
2022,2022,2,19,"Miller Mountain, North of Cook City",BC,MT,45.047,-109.977,Snowmobiler,Snowbike,1,"1 motorized snowbike rider caught, partially buried-critical, and killed",2/19/2022
2022,2022,2,6,Lionhead area near West Yellowstone,BC,MT,44.701,-111.291,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, partially buried-critical, and killed",2/6/2022
2022,2022,1,8,"North Star Mountain, Hoosier Pass",BC,CO,39.370,-106.073,Hiker,Snowshoe,2,"2 snowshoers and a dog caught, buried, and killed",1/8/2022
2022,2021,12,27,"Scotch Bonnet Mountain, north of Cooke City",BC,MT,45.071,-109.944,Snowmobiler,Snowmobile,2,"2 snowmobilers caught, buried, and killed",12/27/2021
2022,2021,12,24,"Diamond Peaks, Cameron Pass",BC,CO,40.511,-105.891,Backcountry Tourer,Ski,1,"1 backcountry skier caught, fully buried, and killed",12/24/2021
2022,2021,12,17,Relay Ridge near Ryan Peak,BC,ID,43.707,-111.344,Hybrid Rider,Snowmobile,2,1 skier and 1 snowmobiler killed,12/17/2021
2022,2021,12,11,"Silver Basin, closed portion of Crystal Mountain ski resort",SA-closed terrain,WA,46.904,-121.495,Backcountry Tourer,Ski,1,"6 backcountry tourers caught, 2 partially buried, 4 buried, and 1 killed",12/11/2021
2021,2021,5,13,"Ruth Glacier, Denali National Park and Preserve",BC,AK,62.993,-150.714,Climber,Foot,1,"2 climbers caught in serac fall, 1 killed",5/13/2021
2021,2021,3,27,Matanuska Glacier,BC,AK,61.795,-147.739,Mechanized Guided client,Ski,1,1 heliskier killed,3/27/2021
2021,2021,3,22,Lime Creek south of Edwards,BC,CO,39.578,-106.555,Sidecountry Rider,Ski,1,1 sidecountry skier caught and killed,3/22/2021
2021,2021,3,20,"Frog Lake Cliffs, north of Donner Pass",BC,CA,39.367,-120.329,Snowmobiler,Foot,1,1 snowmobiler caught and killed,3/20/2021
2021,2021,2,27,"Tiger Peak, north of Burke",BC,ID,47.537,-115.829,Snowmobiler,Snowmobile,1,"4 snowmobilers caught, 1 buried, 1 buried and killed",2/27/2021
2021,2021,2,22,"Broken Thumb Couloir, Peak 9,975 (25 Short), Grand Teton National Park",BC,WY,43.697,-110.790,Backcountry Tourer,Snowboard,1,1 backcountry tourer caught and killed,2/22/2021
